Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,CALL,09:50:00,352.053562,Long-Long-Green-Green,1.7684,349.98,358.28,14:45:00,358.27933900000005,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.7684,1
2022-10-04,P-CALL,12:55:00,366.375772,Long-Bottom-Red-Red,-0.25263,367.3,363.6,14:50:00,367.301357,Long-Long-Green-Green,0,367.223413,15:15:00,366.26187633,Long-Upper-Red-Red,-0.26184,0,-0.51447,0
2022-10-05,C-PUT,09:50:00,364.748691,Long-Long-Red-Green,-0.25643,363.81,367.55,10:05:00,363.813363,Long-Long-Green-Red,0,362.897521,12:15:00,364.924065,Long-Long-Green-Green,-0.55843,0,-0.81487,0
2022-10-06,PUT,09:50:00,367.4718595,Bottom-Long-Green-Red,0.91337,368.99,362.93,15:55:00,364.11549343,Bottom-Upper-Red-Green,1,0.0,None,0.0,Bottom-Upper-Red-Green,0,-1,0.91337,1
2022-10-07,PUT,11:10:00,356.74959057,Long-Long-Green-Red,0.78662,357.69,353.94,13:05:00,353.94331428,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,0.78662,1
2022-10-10,PUT,10:35:00,352.316623,Long-Long-Green-Red,0.096789,353.67,348.25,15:55:00,351.975618,Long-Upper-Green-Red,1,0.0,None,0.0,Long-Upper-Green-Red,0,-1,0.096789,1
2022-10-11,PUT,14:50:00,350.036761,Long-Long-Red-Red,0.41612,352.38,343.01,15:55:00,348.5801825,Upper-Upper-Green-Red,1,0.0,None,0.0,Upper-Upper-Green-Red,0,-1,0.41612,1
2022-10-12,P-PUT,10:10:00,349.11107857,Bottom-Long-Green-Red,-0.31539,350.21,345.81,12:05:00,350.212135,Bottom-Bottom-Red-Red,0,349.900359,12:10:00,350.221878,Bottom-Bottom-Red-Red,-0.091889,0,-0.40728,0
2022-10-17,P-PUT,10:00:00,356.467141,Long-Long-Red-Red,-0.36625,357.77,352.55,10:15:00,357.772703,Bottom-Long-Red-Green,0,358.337797,10:20:00,358.19165200000015,Long-Long-Green-Red,0.040784,1,-0.32547,0
2022-10-18,C-PUT,13:35:00,362.53703,Long-Long-Green-Green,-0.40043,361.09,366.89,14:40:00,361.085323,Long-Long-Red-Red,0,360.812519,15:55:00,361.02442925,Upper-Bottom-Red-Red,0.41723,1,0.016797,1
2022-10-19,C-PUT,10:10:00,359.90642,Long-Long-Green-Green,-0.31673,358.77,363.33,12:30:00,358.766489,Long-Long-Red-Red,0,358.73726,13:05:00,356.4866269999999,Upper-Long-Red-Red,0.62738,1,0.31065,1
2022-10-20,P-CALL,11:30:00,360.7784185,Bottom-Long-Green-Red,-0.24167,361.65,358.16,11:40:00,361.65031957,Long-Long-Green-Green,0,361.689389,12:00:00,360.715089,Bottom-Long-Red-Red,-0.26937,0,-0.51105,0
2022-10-21,P-CALL,10:30:00,357.909105,Long-Long-Red-Red,-0.65877,360.27,350.84,11:55:00,360.266911,Long-Upper-Green-Red,0,359.8693966,12:50:00,361.95020911000006,Long-Long-Green-Green,0.57821,1,-0.080559,0
2022-10-24,CALL,10:55:00,366.4975595,Long-Long-Red-Green,0.54367,364.93,371.19,15:55:00,368.49010043,Bottom-Long-Red-Red,1,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,0.54367,1
2022-10-25,CALL,09:50:00,371.9146675,Upper-Long-Green-Green,0.72958,369.41,379.44,15:55:00,374.628093,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,0.72958,1
2022-10-26,PUT,13:00:00,374.462462,Long-Long-Red-Red,0.44778,375.52,371.28,15:55:00,372.7856917,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,0.44778,1
2022-10-27,C-CALL,10:10:00,372.86461,Long-Long-Green-Green,-0.48863,371.04,378.33,12:30:00,371.042669,Upper-Long-Red-Red,0,370.42886,12:35:00,370.4873179999999,Long-Long-Red-Green,0.015781,1,-0.47285,0
2022-10-28,P-CALL,10:05:00,372.153371,Bottom-Bottom-Red-Red,-0.3639,373.51,368.09,10:30:00,373.507648,Upper-Long-Green-Green,0,374.111714,14:45:00,378.6422090000001,Long-Bottom-Green-Green,1.211,1,0.8471,1
2022-11-01,PUT,09:50:00,378.447349,Bottom-Long-Red-Red,0.8774,380.15,373.33,15:55:00,375.12683717,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,0.8774,1
2022-11-02,C-CALL,11:25:00,372.942554,Upper-Long-Green-Green,-0.13324,372.45,374.43,12:10:00,372.445661,Upper-Long-Green-Red,0,372.53578375,12:15:00,372.328745,Long-Long-Red-Red,-0.055576,0,-0.18881,0
2022-11-03,P-PUT,09:50:00,360.939178,Bottom-Long-Red-Red,-0.48318,362.68,355.71,10:30:00,362.683175,Bottom-Long-Green-Green,0,363.043666,10:35:00,362.4298569999999,Long-Long-Green-Red,0.16907,1,-0.31411,0
2022-11-04,C-PUT,10:00:00,365.45993,Long-Long-Green-Green,-0.76646,362.66,373.86,11:55:00,362.6588175,Long-Long-Red-Red,0,361.981679,14:45:00,363.51064799,Long-Long-Green-Green,-0.42239,0,-1.1889,0
2022-11-07,CALL,10:05:00,367.496217,Upper-Long-Red-Green,0.70789,365.88,372.35,15:55:00,370.09769543,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,0.70789,1
2022-11-08,CALL,09:55:00,371.11087,Upper-Long-Green-Green,1.0475,369.82,375,11:40:00,374.99832699999996,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.0475,1
2022-11-09,C-CALL,10:05:00,370.029397,Upper-Long-Red-Green,-0.43182,368.43,374.82,10:45:00,368.431545,Bottom-Upper-Red-Red,0,368.89930643,11:00:00,368.402316,Long-Upper-Red-Red,-0.13472,0,-0.56654,0
2022-11-10,CALL,09:50:00,378.242746,Upper-Long-Red-Green,1.7233,375.73,385.78,15:55:00,384.76091043,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.7233,1
2022-11-11,CALL,09:50:00,385.41369143,Upper-Long-Green-Green,0.84484,383.49,391.17,15:55:00,388.66980203,Long-Upper-Green-Red,1,0.0,None,0.0,Long-Upper-Green-Red,0,-1,0.84484,1
2022-11-15,PUT,10:10:00,390.577384,Bottom-Long-Green-Red,0.96538,391.83,386.81,13:25:00,386.806843,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,0.96538,1
2022-11-16,P-PUT,12:05:00,385.97254991,Bottom-Long-Green-Red,-0.20101,386.75,383.65,12:45:00,386.748385,Bottom-Long-Green-Green,0,386.836072,12:50:00,386.904273,Long-Bottom-Green-Green,-0.01763,0,-0.21864,0
2022-11-17,P-CALL,10:00:00,380.34177792,Long-Long-Red-Red,-0.33086,381.6,376.57,10:20:00,381.6001838,Long-Long-Green-Green,0,381.71018227,11:00:00,380.473893,Bottom-Long-Green-Red,-0.32388,0,-0.65474,0
2022-11-18,C-CALL,11:20:00,385.452566,Long-Long-Green-Green,-0.29068,384.33,388.81,12:10:00,384.332121,Upper-Long-Green-Red,0,384.429551,12:20:00,384.156747,Bottom-Long-Red-Red,-0.070963,0,-0.36165,0
2022-11-21,PUT,10:05:00,384.67302857,Long-Long-Red-Red,0.53956,385.36,382.6,12:00:00,382.59747728,Bottom-Long-Green-Red,1,0.0,None,0.0,Bottom-Long-Green-Red,0,-1,0.53956,1
2022-11-22,CALL,10:05:00,386.163805,Long-Long-Green-Green,0.60553,385.38,388.5,14:40:00,388.5021250000001,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.60553,1
2022-11-23,C-PUT,09:50:00,390.879417,Long-Long-Red-Green,-0.20439,390.08,393.28,11:55:00,390.080491,Long-Long-Red-Red,0,390.07065057,14:05:00,391.5565555,Long-Long-Green-Green,-0.38093,0,-0.58532,0
2022-11-29,C-PUT,10:20:00,386.10524957,Long-Long-Red-Green,-0.22708,385.23,388.74,11:05:00,385.228477,Bottom-Long-Green-Red,0,385.12071942,15:55:00,384.809528,Upper-Long-Green-Red,0.33559,1,0.10851,1
2022-12-01,PUT,10:05:00,397.835919,Bottom-Bottom-Red-Red,0.15184,399.12,393.98,15:55:00,397.231853,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,0.15184,1
2022-12-05,C-PUT,10:45:00,393.120307,Upper-Long-Green-Green,-0.14622,392.55,394.84,11:20:00,392.54547,Bottom-Long-Red-Red,0,392.4431685,14:00:00,388.9850855100001,Long-Long-Red-Red,0.88117,1,0.73494,1
2022-12-07,P-CALL,10:40:00,383.2555195,Long-Long-Red-Red,-0.44615,384.97,378.13,10:55:00,384.965416,Long-Long-Green-Green,0,384.887472,11:25:00,383.786513,Bottom-Long-Red-Red,-0.28605,0,-0.7322,0
2022-12-08,CALL,09:50:00,384.36125257,Long-Long-Red-Green,0.66152,383.51,386.9,10:30:00,386.9038832799999,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.66152,1
2022-12-12,CALL,09:50:00,384.351607,Long-Long-Green-Green,0.79089,383.34,387.39,15:15:00,387.3914230000001,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,0.79089,1
2022-12-13,P-PUT,09:50:00,398.19650743,Long-Bottom-Green-Red,-0.10763,398.63,396.91,09:55:00,398.625102,Bottom-Long-Red-Green,0,399.297369,10:00:00,399.511715,Long-Long-Green-Red,-0.053681,0,-0.16131,0
2022-12-14,PUT,14:05:00,390.820959,Bottom-Long-Red-Red,0.19445,395.08,378.05,15:55:00,390.061005,Upper-Long-Red-Green,1,0.0,None,0.0,Upper-Long-Red-Green,0,-1,0.19445,1
2022-12-16,PUT,10:05:00,376.4681514,Long-Long-Red-Red,0.14039,378.19,371.3,15:55:00,375.9396102,Bottom-Upper-Red-Red,1,0.0,None,0.0,Bottom-Upper-Red-Red,0,-1,0.14039,1
2022-12-19,P-CALL,09:50:00,374.099601678,Long-Long-Red-Red,-0.36888,375.48,369.96,10:25:00,375.4795836,Upper-Long-Green-Green,0,375.3327666,10:45:00,374.2561086,Long-Bottom-Red-Green,-0.28685,0,-0.65574,0
2022-12-20,CALL,10:00:00,371.9755512,Upper-Long-Green-Green,0.22627,369.83,378.41,15:55:00,372.817204122,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,0.22627,1
2022-12-21,CALL,09:50:00,375.7144908,Upper-Long-Red-Green,0.82843,374.68,378.83,11:05:00,378.8270112000001,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.82843,1
2022-12-22,PUT,10:05:00,372.3181242,Long-Long-Green-Red,0.9464,373.49,368.79,12:30:00,368.79451620000003,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.9464,1
2022-12-23,P-PUT,11:05:00,372.1419438,Bottom-Long-Red-Red,-0.34981,373.44,368.24,11:40:00,373.4437212,Bottom-Long-Red-Green,0,373.5318114,11:45:00,373.6296894,Long-Bottom-Green-Red,-0.026203,0,-0.37601,0
2022-12-27,P-CALL,12:45:00,373.698204,Long-Long-Green-Red,-0.16228,374.3,371.88,13:05:00,374.304656088,Long-Long-Green-Green,0,374.217055278,13:35:00,373.6199016,Long-Long-Red-Red,-0.15957,0,-0.32186,0
2022-12-28,PUT,09:55:00,373.9233234,Long-Long-Green-Red,0.9099,375.06,370.52,11:20:00,370.5209862420001,Bottom-Upper-Red-Green,1,0.0,None,0.0,Bottom-Upper-Red-Green,0,-1,0.9099,1
2023-01-03,PUT,09:50:00,375.36213,Bottom-Long-Red-Red,0.631,378.23,366.76,15:55:00,372.993580278,Long-Upper-Green-Green,1,0.0,None,0.0,Long-Upper-Green-Green,0,-1,0.631,1
2023-01-04,P-CALL,10:05:00,373.34192808,Long-Long-Green-Red,-0.48606,375.16,367.9,11:15:00,375.1565862,Long-Long-Green-Green,0,375.313191,14:05:00,374.19836058,Long-Bottom-Red-Red,-0.29704,0,-0.7831,0
2023-01-05,P-PUT,10:25:00,371.9559756,Long-Long-Red-Red,-0.28946,373.03,368.73,13:30:00,373.0326336,Long-Bottom-Green-Red,0,372.6900606,13:35:00,373.3360554,Bottom-Long-Red-Green,-0.17333,0,-0.46279,0
2023-01-09,PUT,12:40:00,383.7649563,Long-Long-Red-Red,0.67715,384.63,381.17,15:00:00,381.16629539999997,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.67715,1
2023-01-10,P-CALL,10:30:00,380.0211228,Long-Bottom-Red-Red,-0.26013,381.01,377.06,13:10:00,381.0096906,Long-Long-Green-Green,0,381.0684174,13:20:00,380.3881653,Long-Long-Red-Red,-0.17851,0,-0.43865,0
2023-01-11,P-PUT,09:55:00,383.9949696,Long-Long-Red-Red,-0.21396,384.82,381.53,12:15:00,384.816557532,Bottom-Long-Green-Green,0,384.9639618,12:20:00,385.052052,Long-Bottom-Green-Red,-0.022883,0,-0.23684,0
2023-01-12,CALL,10:05:00,386.3195721,Long-Long-Green-Green,0.47758,384.19,392.71,15:55:00,388.1645724,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.47758,1
2023-01-12,CALL,16:00:00,388.5365088,Upper-Long-Red-Green,0.36278,389.72,384.98,None,389.946049878,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.36278,1
2023-01-17,C-CALL,09:50:00,390.170190498,Upper-Long-Green-Green,-0.25314,389.18,393.13,11:10:00,389.1825036,Upper-Long-Red-Red,0,389.309842878,11:15:00,389.0944134,Long-Long-Red-Red,-0.055336,0,-0.30848,0
2023-01-19,P-CALL,12:25:00,380.1190008,Bottom-Long-Green-Red,-0.17443,380.78,378.13,13:05:00,380.782026372,Long-Long-Green-Green,0,380.990212878,15:55:00,380.941273878,Bottom-Long-Red-Red,0.21632,1,0.041894,1
2023-01-23,PUT,14:40:00,391.6000902,Bottom-Long-Green-Red,-0.13622,392.56,388.72,15:55:00,392.1335253,Long-Long-Green-Green,0,0.0,None,0.0,Long-Long-Green-Green,0,-1,-0.13622,0
2023-01-24,P-CALL,10:00:00,389.92246128,Long-Long-Green-Red,-0.44029,391.64,384.77,10:55:00,391.6392414,Long-Long-Green-Green,0,391.6783926,12:05:00,390.9540954,Upper-Upper-Red-Red,-0.18492,0,-0.62521,0
2023-01-25,P-CALL,09:50:00,387.3326094,Bottom-Long-Green-Red,-0.23248,388.23,384.63,11:55:00,388.233087,Long-Long-Green-Green,0,388.8888696,15:55:00,391.179312678,Upper-Upper-Red-Red,0.99313,1,0.76064,1
2023-01-26,C-PUT,10:20:00,394.1351304,Long-Long-Green-Green,-0.42465,392.46,399.16,10:55:00,392.4614166,Long-Long-Green-Red,0,392.1677826,12:05:00,393.5870136,Upper-Bottom-Green-Green,-0.36189,0,-0.78655,0
2023-01-27,CALL,11:25:00,396.356961,Long-Long-Green-Green,0.74083,395.38,399.29,15:10:00,399.2933010000001,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.74083,1
2023-01-30,P-CALL,09:55:00,394.9768812,Long-Long-Green-Red,-0.26268,396.01,391.86,10:05:00,396.014388,Long-Long-Green-Green,0,396.3275976,10:30:00,394.7321862,Long-Upper-Red-Green,-0.40255,0,-0.66522,0
2023-02-01,PUT,11:50:00,396.552619122,Bottom-Long-Red-Red,0.28886,396.93,395.41,12:20:00,395.4071528880001,Bottom-Long-Green-Red,1,0.0,None,0.0,Bottom-Long-Green-Red,0,-1,0.28886,1
2023-02-02,C-CALL,09:50:00,405.6749466,Long-Long-Red-Green,-0.19302,404.89,408.02,09:55:00,404.8919226,Long-Upper-Green-Red,0,405.2247078,10:00:00,404.6863788,Upper-Long-Red-Red,-0.13285,0,-0.32586,0
2023-02-03,P-PUT,12:00:00,405.997944,Bottom-Long-Green-Red,-0.23387,406.95,403.15,12:15:00,406.947458478,Bottom-Long-Green-Green,0,407.025663,12:20:00,406.84948260000004,Long-Upper-Green-Green,0.043285,1,-0.19059,0
2023-02-06,C-CALL,10:55:00,401.4564048,Long-Long-Green-Green,-0.31451,400.19,405.24,15:35:00,400.1937786,Upper-Upper-Red-Green,0,400.8397734,15:55:00,401.348739,Long-Long-Red-Green,-0.026819,0,-0.34133,0
2023-02-07,P-PUT,10:00:00,400.3308078,Bottom-Long-Green-Red,-0.13936,400.89,398.66,11:10:00,400.8887124,Bottom-Long-Red-Green,0,401.0159538,11:30:00,401.2606488,Upper-Long-Red-Green,-0.061019,0,-0.20038,0
2023-02-08,P-CALL,09:50:00,404.9310738,Long-Long-Green-Red,-0.17162,405.63,402.85,10:20:00,405.6260076,Long-Long-Green-Green,0,405.5770686,10:30:00,404.5004106,Long-Long-Red-Red,-0.26546,0,-0.43708,0
2023-02-09,C-CALL,09:50:00,405.205034322,Long-Long-Red-Green,-0.18839,404.44,407.5,10:00:00,404.4416838,Long-Upper-Red-Red,0,404.578713,10:30:00,404.1969888,Long-Long-Red-Red,-0.094351,0,-0.28274,0
2023-02-13,C-CALL,14:55:00,402.859681686,Long-Long-Red-Green,-0.11023,402.42,404.19,15:05:00,402.4156092,Long-Upper-Green-Red,0,402.7239249,15:40:00,403.8250523999999,Long-Long-Green-Green,0.27342,1,0.16319,1
2023-02-14,PUT,10:40:00,401.8577046,Long-Long-Red-Red,-0.70755,404.96,392.55,15:55:00,404.7010605,Upper-Upper-Green-Red,0,0.0,None,0.0,Upper-Upper-Green-Red,0,-1,-0.70755,0
2023-02-15,P-PUT,09:55:00,401.495556,Long-Long-Green-Red,-0.31553,402.76,397.7,10:35:00,402.762390954,Bottom-Long-Green-Green,0,402.748492278,10:45:00,402.1908813120001,Upper-Long-Red-Red,0.13845,1,-0.17708,0
2023-02-16,P-PUT,10:00:00,400.1839908,Bottom-Long-Red-Red,-0.21768,401.06,397.57,10:15:00,401.055105,Long-Bottom-Green-Green,0,400.9963782,10:20:00,401.3781024,Bottom-Long-Green-Green,-0.095194,0,-0.31287,0
2023-02-17,C-CALL,10:05:00,396.9148656,Long-Long-Green-Green,-0.33044,395.6,400.85,11:35:00,395.6033004,Bottom-Upper-Green-Green,0,396.0046002,12:55:00,395.5445736,Long-Long-Red-Red,-0.11617,0,-0.44661,0
2023-02-21,PUT,09:50:00,394.3798254,Long-Long-Green-Red,0.87112,395.52,390.94,14:05:00,390.9443076000001,Upper-Upper-Green-Red,1,0.0,None,0.0,Upper-Upper-Green-Red,0,-1,0.87112,1
2023-02-22,CALL,11:25:00,390.698535942,Upper-Long-Red-Green,0.43508,390.13,392.4,14:05:00,392.39838316799984,Long-Upper-Green-Green,1,0.0,None,0.0,Long-Upper-Green-Green,0,-1,0.43508,1
2023-02-23,PUT,10:05:00,392.7942018,Long-Long-Red-Red,0.66532,393.67,390.18,11:10:00,390.18085919999993,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,0.66532,1
2023-02-24,P-PUT,12:50:00,386.373502878,Long-Long-Red-Red,-0.1355,386.9,384.8,13:30:00,386.8970523,Long-Bottom-Green-Green,0,386.7355536,13:45:00,386.949319152,Long-Long-Green-Green,-0.055274,0,-0.19078,0
2023-02-27,C-CALL,09:55:00,391.2477294,Upper-Long-Green-Green,-0.16261,390.61,393.16,10:45:00,390.6115224,Long-Upper-Red-Green,0,390.924732,11:00:00,390.2493738,Upper-Upper-Red-Green,-0.17276,0,-0.33537,0
2023-03-01,C-PUT,09:50:00,388.1303151,Long-Long-Red-Green,-0.30135,386.96,391.64,10:05:00,386.960673,Long-Long-Red-Red,0,387.048665322,15:55:00,386.3293599,Upper-Long-Green-Red,0.46401,1,0.16265,1
2023-03-02,P-PUT,12:20:00,385.1303544,Long-Long-Red-Red,-0.14232,385.68,383.49,12:30:00,385.6784712,Long-Bottom-Green-Green,0,385.5365481,12:35:00,385.7176224,Bottom-Long-Green-Green,-0.046967,0,-0.18929,0
2023-03-03,C-PUT,09:50:00,391.5511512,Long-Long-Green-Green,-0.19998,390.77,393.9,10:10:00,390.7681272,Long-Long-Red-Red,0,390.8660052,10:25:00,392.343963,Bottom-Long-Green-Green,-0.37812,0,-0.5781,0
2023-03-06,P-CALL,09:50:00,396.601656,Long-Long-Green-Red,-0.15178,397.2,394.8,10:10:00,397.2036057,Upper-Long-Red-Green,0,397.631038926,13:40:00,396.6408072,Long-Long-Red-Red,-0.24903,0,-0.40081,0
2023-03-07,C-PUT,09:50:00,395.8969344,Long-Long-Red-Green,-0.093948,395.52,397.01,10:05:00,395.524998,Long-Long-Red-Red,0,393.1123053,15:55:00,389.7697716,Upper-Long-Red-Red,1.5477,1,1.4537,1
2023-03-08,C-CALL,10:10:00,389.9851032,Upper-Long-Red-Green,-0.40408,388.41,394.71,13:30:00,388.4092674,Upper-Long-Green-Red,0,388.418957322,13:35:00,388.3211772,Long-Upper-Red-Green,-0.025174,0,-0.42925,0
2023-03-09,C-PUT,09:50:00,392.6767482,Upper-Long-Red-Green,-0.3041,391.48,396.26,10:20:00,391.4826366,Long-Long-Red-Red,0,391.2868806,10:40:00,392.3733264,Long-Bottom-Green-Green,-0.27766,0,-0.58175,0
2023-03-13,CALL,09:50:00,375.998337,Upper-Long-Red-Green,0.39828,372.6,386.19,15:55:00,377.4958704,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.39828,1
2023-03-14,P-PUT,09:55:00,382.3799826,Bottom-Long-Green-Red,-0.31996,383.6,378.71,10:10:00,383.6034576,Upper-Bottom-Green-Red,0,383.1825822,10:25:00,383.6132454,Long-Long-Red-Green,-0.11239,0,-0.43235,0
2023-03-15,C-PUT,11:00:00,377.9705787,Long-Long-Green-Green,-0.48021,376.16,383.42,12:30:00,376.155529068,Bottom-Long-Red-Green,0,376.732422,12:35:00,376.9477536,Long-Bottom-Green-Green,-0.057158,0,-0.53737,0
2023-03-16,P-CALL,09:50:00,379.100971722,Bottom-Long-Green-Red,-0.23756,380,376.4,10:00:00,380.0015472,Long-Long-Green-Green,0,380.336681472,10:10:00,378.934677,Long-Long-Red-Red,-0.36862,0,-0.60618,0
2023-03-17,P-CALL,09:50:00,385.513724052,Long-Long-Red-Red,-0.45916,387.28,380.2,10:05:00,387.2838501,Upper-Long-Green-Green,0,387.2445489,10:15:00,385.643025,Long-Long-Red-Red,-0.41357,0,-0.87273,0
2023-03-20,P-CALL,10:20:00,384.2380071,Bottom-Long-Green-Red,-0.27852,385.31,381.03,10:25:00,385.308178776,Long-Long-Red-Green,0,385.446519,12:15:00,384.1201035,Long-Upper-Red-Red,-0.34412,0,-0.62264,0
2023-03-21,C-CALL,10:00:00,390.9093858,Upper-Long-Green-Green,-0.14578,390.34,392.62,10:10:00,390.3395184,Bottom-Upper-Red-Red,0,390.2805666,10:20:00,389.966157,Bottom-Long-Red-Red,-0.08056,0,-0.22634,0
2023-03-22,C-PUT,10:20:00,391.832964,Long-Long-Red-Green,-0.12287,391.35,393.28,12:15:00,391.3515243,Long-Long-Red-Red,0,391.3515243,14:05:00,391.832964,Bottom-Long-Green-Green,-0.12302,0,-0.24589,0
2023-03-24,CALL,09:55:00,384.3166095,Long-Long-Red-Green,0.90247,382.6,389.47,15:55:00,387.7849404,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.90247,1
2023-03-27,PUT,09:55:00,391.2041448,Bottom-Long-Green-Red,0.5425,391.91,389.08,11:15:00,389.0818799999999,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.5425,1
2023-03-28,C-CALL,11:20:00,388.688868,Long-Long-Green-Green,-0.13145,388.18,390.22,13:05:00,388.1779524,Upper-Long-Green-Red,0,388.1288259,13:10:00,388.1550594509999,Long-Bottom-Red-Red,0.006759,1,-0.12469,0
